       name        |  cz  | error |       bibcode       |                  refs                   
 NGC3299           |  604 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 DDO083            |  582 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 AGC205165         |  724 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 AGC200499         | 1175 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 AGC208397         |  763 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 UGC05797          |  710 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 LeG05             |  780 |     3 | 2009AJ....138..338S | Stierwalt et al. 2009
 LeG06             | 1007 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 AGC208399         |  747 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGC05812          | 1008 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 FS04              |  772 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 DDO084            |  630 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 AGC205268         | 1145 |     5 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 ESO376-016        |  670 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC3344           |  588 |     1 | 2011AJ....142..170H | Haynes et al. 2011
